Zeo1,Zeo2,SOAP,D,mA11,mA12,mA13,mA21,mA22,mA23,mA31,mA32,mA33,mB11,mB12,mB13,mB21,mB22,mB23,mB31,mB32,mB33
AFG,WEI,0.1094,0.1389,1,0,0,0,5,0,0,0,1,1,0,0,0,6,0,0,0,2
AFG,WEN,0.0894,0.0445,-2,-1,-1,-1,-1,1,0,1,2,-2,-1,2,0,-2,-2,2,-1,-1
AFG,YFI,0.1547,0.0454,-1,1,-2,-1,2,0,0,2,-1,-1,-1,2,0,-1,-1,0,-1,1
AFG,YUG,0.0872,0.1335,1,0,0,0,1,0,0,0,1,-1,-1,1,0,0,-1,2,-1,1
AFG,ZON,0.1061,0.1016,2,0,0,0,1,0,0,0,1,3,0,0,0,1,0,0,0,1
AFI,AFN,0.2262,0.1509,-2,-1,0,0,-1,-2,0,-1,0,0,-1,0,-1,0,1,-2,0,-1
AFI,AFO,0.1460,0.1604,-1,-1,-1,-1,1,0,-1,2,-2,-1,0,-2,0,1,0,1,1,-1
AFI,AFR,0.1445,0.1069,2,0,0,0,1,0,0,0,2,1,0,0,0,1,0,0,0,3
AFI,AFS,0.1930,0.2356,-2,-1,-1,-2,2,1,-1,2,0,-2,-2,1,2,1,2,1,1,1
AFI,AFT,0.1999,0.1621,-2,-1,0,1,2,0,0,0,-1,1,0,0,0,1,0,0,0,1
AFI,AFV,0.2609,0.0804,-2,-2,-1,-2,1,-2,-1,-2,-1,-1,-2,1,2,-1,0,-2,-2,2
AFI,AFX,0.1898,0.1895,1,0,0,0,1,0,0,0,2,1,0,0,0,1,0,0,0,1
AFI,AFY,0.2495,0.1212,-2,-2,0,-1,0,0,0,0,-1,-2,-1,0,-1,-2,0,0,0,1
AFI,AHT,0.2197,0.1539,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1
AFI,ANA,0.2642,0.1058,1,0,0,0,1,0,0,0,2,1,0,0,0,1,0,0,0,1
AFI,APC,0.2471,0.1785,-2,1,-2,-2,2,-1,0,0,-2,-1,-1,-1,-1,-1,-2,1,-2,2
AFI,APD,0.2497,0.1343,-2,-1,-2,-2,-1,0,0,1,0,-1,-2,0,1,-1,0,0,0,1
AFI,AST,0.3272,0.1220,1,0,0,0,1,0,0,0,5,1,0,0,0,1,0,0,0,3
AFI,ASV,0.2291,0.1238,-2,1,-1,-1,-1,0,-1,1,1,-2,-1,-2,-2,2,0,0,0,-1
AFI,ATN,0.2164,0.0247,-1,-1,-2,-1,1,0,1,-2,-2,-2,-1,0,-1,2,-2,0,-2,1
AFI,ATO,0.1314,0.1919,3,0,0,0,1,0,0,0,1,2,0,0,0,1,0,0,0,1
AFI,ATS,0.1039,0.4079,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1
AFI,ATT,0.2626,0.1539,1,0,0,0,1,0,0,0,1,0,-2,-1,0,0,1,-1,0,0
AFI,ATV,0.2038,0.1539,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1
AFI,AVL,0.2220,0.0468,-2,1,-2,-1,-2,-2,-1,2,1,-2,2,0,-2,-2,-1,0,2,1
AFI,AWO,0.2093,0.1737,-2,-1,0,0,-1,0,0,0,1,1,0,0,0,1,0,0,0,1
AFI,AWW,0.1999,0.1810,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1
AFI,BCT,0.2235,0.0000,1,0,0,0,1,0,0,0,1,-1,-1,-2,0,1,0,1,0,-1
AFI,BEA,0.1356,0.1505,-2,-2,0,-1,1,-1,1,-1,-1,-1,0,0,0,-1,-2,0,-1,1
AFI,BEC,0.1355,0.2035,-2,-2,0,-1,-2,0,-1,0,2,-1,0,-1,-2,-1,-1,-1,2,0
AFI,BIK,0.2165,0.2646,1,0,0,0,1,0,0,0,1,0,-1,-2,0,0,1,-2,0,0
AFI,BOF,0.1925,0.0000,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1
AFI,BOG,0.1363,0.0463,1,0,0,0,2,0,0,0,2,1,0,0,0,1,0,0,0,1
AFI,BOZ,0.3133,0.2723,1,0,0,0,2,0,0,0,2,1,0,0,0,1,0,0,0,1
AFI,BPH,0.1899,0.1503,-2,1,-1,-1,-2,-2,-1,-1,0,-1,-1,-1,1,-2,1,-1,-2,1
AFI,BRE,0.2354,0.2082,2,0,0,0,1,0,0,0,1,3,0,0,0,1,0,0,0,1
AFI,BSV,0.3345,0.2560,1,0,0,0,2,0,0,0,2,1,0,0,0,1,0,0,0,1
AFI,CAN,0.1808,0.0609,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,2
AFI,CAS,0.2144,0.2646,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1
AFI,CDO,0.1959,0.2409,1,0,0,0,1,0,0,0,3,1,0,0,0,1,0,0,0,2
AFI,CFI,0.0671,0.2521,-2,-2,-1,-2,-2,0,-1,1,0,0,-1,-2,0,1,-1,1,0,0
AFI,CGF,0.2401,0.1434,1,0,0,0,3,0,0,0,1,1,0,0,0,2,0,0,0,1
AFI,CGS,0.2145,0.0754,2,0,0,0,1,0,0,0,2,3,0,0,0,1,0,0,0,1
AFI,CHA,0.2384,0.0752,-2,-1,0,-1,-2,0,0,0,1,-2,-2,0,-1,0,0,0,0,-1
AFI,CHI,0.2385,0.0970,-2,1,-2,-2,2,1,-1,2,0,-1,-1,-1,1,-1,1,-1,-2,2
AFI,CLO,0.3885,0.1728,2,0,0,0,2,0,0,0,2,1,0,0,0,1,0,0,0,1
AFI,CON,0.1245,0.0511,-2,1,-1,-1,0,1,-1,2,2,-1,-1,1,-2,1,2,-1,0,0
AFI,CSV,0.1298,0.1308,-2,2,-1,-1,-1,-2,0,1,2,1,0,-2,-1,2,-2,2,-1,1
AFI,CTH,0.0803,0.0678,2,0,0,0,2,0,0,0,4,3,0,0,0,1,0,0,0,1
AFI,CZP,0.2691,0.0547,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1
AFI,DAC,0.2068,0.2012,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1
AFI,DDR,0.1837,0.2735,1,0,0,0,1,0,0,0,31,1,0,0,0,1,0,0,0,6
AFI,DFO,0.1739,0.2511,-2,0,-1,-2,1,1,-1,2,-2,-2,2,1,-1,0,0,-1,0,1
AFI,DFT,0.2678,0.0668,1,0,0,0,1,0,0,0,1,-1,0,-2,-1,0,1,0,1,0
AFI,DOH,0.2303,0.7478,-2,0,-1,-2,1,-2,1,0,-2,-1,-1,-2,-1,-1,-1,-2,1,2
AFI,DON,0.1056,0.1589,4,0,0,0,2,0,0,0,1,3,0,0,0,1,0,0,0,1
AFI,EAB,0.2425,0.1088,-2,-1,0,-1,-2,0,0,0,1,-2,-2,0,-1,0,0,0,0,-1
AFI,EDI,0.3323,0.1252,1,0,0,0,1,0,0,0,5,2,0,0,0,2,0,0,0,6
AFI,EEI,0.1115,0.2817,-2,1,-1,-1,-2,1,-1,2,2,-1,-1,0,1,0,0,-2,-1,2
AFI,EMT,0.3207,0.1200,1,0,0,0,1,0,0,0,4,1,0,0,0,1,0,0,0,1
AFI,EON,0.1911,0.3062,1,0,0,0,1,0,0,0,5,1,0,0,0,1,0,0,0,2
AFI,EPI,0.2250,0.2195,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1
AFI,ERI,0.1672,0.1179,-2,-1,0,-1,-2,0,0,0,1,-2,-2,0,-1,0,0,0,0,-1
AFI,ESV,0.2247,0.1361,-2,-1,0,0,-1,0,0,0,1,1,0,0,0,1,0,0,0,1
AFI,ETL,0.2052,0.2855,1,0,0,0,3,0,0,0,1,1,0,0,0,1,0,0,0,1
AFI,ETR,0.2161,0.1387,-2,-2,0,0,1,0,0,0,-1,1,0,0,0,1,0,0,0,1
AFI,EUO,0.0951,0.0820,1,0,0,0,2,0,0,0,7,1,0,0,0,1,0,0,0,3
AFI,EWS,0.1958,0.2360,2,0,0,0,1,0,0,0,2,1,0,0,0,1,0,0,0,1
AFI,EWT,0.2011,0.1059,1,0,0,0,16,0,0,0,2,1,0,0,0,11,0,0,0,1
AFI,EZT,0.1214,0.1443,-2,-1,0,0,-1,0,0,0,1,1,0,0,0,1,0,0,0,1
AFI,FAR,0.2362,0.1779,1,0,0,0,1,0,0,0,7,1,0,0,0,1,0,0,0,2
AFI,FAU,0.3078,0.0922,2,0,0,0,2,0,0,0,2,1,0,0,0,1,0,0,0,1
AFI,FER,0.1985,0.1530,3,0,0,0,1,0,0,0,1,2,0,0,0,1,0,0,0,1
AFI,FRA,0.2911,0.0912,-2,0,-1,-2,1,1,-1,2,1,-1,2,-1,-1,0,-1,-2,-1,-1
AFI,GIS,0.3037,0.2042,1,0,0,0,2,0,0,0,1,1,0,0,0,3,0,0,0,1
AFI,GIU,0.2123,0.2357,1,0,0,0,1,0,0,0,4,1,0,0,0,1,0,0,0,1
AFI,GME,0.1817,0.0000,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1
AFI,GON,0.1199,0.2431,1,0,0,0,4,0,0,0,1,1,0,0,0,3,0,0,0,1
AFI,GOO,0.2561,0.0661,2,0,0,0,1,0,0,0,2,3,0,0,0,1,0,0,0,1
AFI,HEU,0.2254,0.1434,1,0,0,0,3,0,0,0,1,1,0,0,0,2,0,0,0,1
AFI,IFO,0.1259,0.2287,-2,-2,-1,-2,-2,0,-1,1,0,0,-2,-1,0,-1,-2,1,0,0
AFI,IFR,0.1261,0.2120,-2,0,-2,-1,2,-1,0,2,-1,-2,-1,-2,-2,1,-1,-1,1,-1
AFI,IFT,0.4665,0.3161,-2,-1,-1,-2,2,1,-1,2,-2,-2,-1,-1,1,-2,-1,0,-1,0
AFI,IFU,0.4331,0.2728,-2,-2,-1,-2,2,0,0,0,-2,-1,-2,0,0,0,-1,1,-1,0
AFI,IFW,0.0786,0.0723,-2,-2,0,-1,1,-2,0,0,-2,0,-1,0,-2,0,-1,-1,0,-2
AFI,IFY,0.1698,0.1511,1,0,0,0,1,0,0,0,2,1,0,0,0,1,0,0,0,1
AFI,IHW,0.1232,0.1822,1,0,0,0,2,0,0,0,7,1,0,0,0,1,0,0,0,3
AFI,IMF,0.1152,0.0919,1,0,0,0,4,0,0,0,3,1,0,0,0,1,0,0,0,1
AFI,IRN,0.1549,0.1243,-2,-1,-2,-2,2,1,1,2,-2,-1,-1,0,-2,1,2,-1,1,-1
AFI,IRR,0.6582,0.5764,-2,-1,-2,-1,2,-2,1,-2,1,0,0,-2,-1,2,-2,1,-1,1
AFI,IRY,0.7418,0.3319,1,0,0,0,1,0,0,0,19,1,0,0,0,1,0,0,0,6
AFI,ISV,0.1367,0.1048,-2,-2,0,-2,1,-2,0,-2,0,-1,-1,0,-1,0,-2,0,-2,1
AFI,ITE,0.1752,0.0644,2,0,0,0,2,0,0,0,2,1,0,0,0,3,0,0,0,1
AFI,ITG,0.1071,0.1263,1,0,0,0,1,0,0,0,7,1,0,0,0,1,0,0,0,3
AFI,ITH,0.1168,0.1549,-2,1,-1,-1,-2,1,-1,2,0,-1,-1,-1,-1,-2,2,-1,0,-1
AFI,ITN,0.1151,0.0995,3,0,0,0,1,0,0,0,3,2,0,0,0,1,0,0,0,2
AFI,ITR,0.1172,0.1079,-2,-2,0,-2,-1,-2,2,-2,1,0,0,-1,-1,-1,-1,-1,2,0
AFI,ITT,0.5318,0.1765,-2,-2,-1,-2,1,1,-1,2,-2,-1,-1,-2,-2,1,0,0,2,-1
AFI,ITV,0.6966,0.2339,-2,-2,0,-2,2,0,0,0,-1,1,0,0,0,1,0,0,0,1
AFI,ITW,0.2342,0.0402,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1
AFI,IWR,0.1200,0.1992,-2,1,-2,-2,2,1,-1,2,0,-2,-1,-1,-1,-2,-2,-1,-2,-1
AFI,IWS,0.1659,0.1163,-2,1,-2,-1,-2,1,-1,1,2,-1,-1,-1,1,0,-1,0,-1,1
AFI,IWV,0.1534,0.2527,3,0,0,0,2,0,0,0,1,1,0,0,0,1,0,0,0,1
AFI,IWW,0.1028,0.2585,2,0,0,0,1,0,0,0,7,1,0,0,0,1,0,0,0,3
AFI,JBW,0.2154,0.1539,1,0,0,0,1,0,0,0,1,0,-2,-1,0,0,1,-2,0,0
AFI,JNT,0.2266,0.1389,2,0,0,0,1,0,0,0,2,3,0,0,0,1,0,0,0,1
AFI,JOZ,0.3140,0.0586,-2,-1,-1,-1,2,2,0,1,0,-2,0,-1,1,-2,-1,0,-2,0
AFI,JRY,0.2241,0.2628,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1
